ident,type,name,elevation_ft,iso_country,iso_region,municipality,local_code
PA80,heliport,St Luke's Hospital Heliport,470.0,US,US-PA,Fountain Hill,PA80
PA81,small_airport,5 Lakes Airport,819.0,US,US-PA,Fayetteville,PA81
PA82,small_airport,Grayce Farms Airport,1300.0,US,US-PA,Fleetville,PA82
PA83,heliport,Skyview Heliport,530.0,US,US-PA,Souderton,PA83
PA84,small_airport,Level Acres Farm Airport,523.0,US,US-PA,Thomasville,PA84
PA85,small_airport,Drewniany-Springmeadow Airport,330.0,US,US-PA,Frederick,PA85
PA86,small_airport,Krill Personal Use Airport,520.0,US,US-PA,Frystown,PA86
PA87,heliport,TEK Park Breinigsville Heliport,460.0,US,US-PA,Breinigsville,PA87
PA88,small_airport,Nemacolin Airport,2010.0,US,US-PA,Farmington,PA88
PA89,small_airport,Ben's Landing Ultralightport,550.0,US,US-PA,East Berlin,PA89
PA90,seaplane_base,Flat Rock Seaplane Base,40.0,US,US-PA,Gladwyne,PA90
PA91,heliport,UPMC Kane Heliport,2008.0,US,US-PA,Kane,PA91
PA92,small_airport,Blue Mountain Academy (Private) Airport,531.0,US,US-PA,Hamburg,PA92
PA93,heliport,Cherokee Heliport,1175.0,US,US-PA,Brick Church Village,PA93
PA94,heliport,Sharon General Hospital Heliport,980.0,US,US-PA,Sharon,PA94
PA95,heliport,Turnpike Nr 1 Heliport,348.0,US,US-PA,Harrisburg,PA95
PA97,heliport,Warren General Hospital Heliport,1178.0,US,US-PA,Warren,PA97
PA98,heliport,Wnep-Tv Heliport,1035.0,US,US-PA,Moosic,PA98
PA99,heliport,St Lukes/Gnaden Huetten Heliport,600.0,US,US-PA,Lehighton,PA99
PAAD,small_airport,Point Thomson Airstrip,56.0,US,US-AK,Deadhorse,37AA
PAAK,small_airport,Atka Airport,57.0,US,US-AK,Atka,AKA
PAAL,small_airport,Port Moller Airport,20.0,US,US-AK,Cold Bay,1AK3
PAAM,small_airport,Driftwood Bay Air Force Station Airport,24.0,US,US-AK,Dutch Harbor,AK23
PAAN,small_airport,Gold King Creek Airport,1720.0,US,US-AK,Fairbanks,AK7
PAAP,seaplane_base,Port Alexander Seaplane Base,,US,US-AK,Port Alexander,AHP
PAAQ,medium_airport,"Warren ""Bud"" Woods Palmer Municipal Airport",242.0,US,US-AK,Palmer,PAQ
PAAT,closed,Casco Cove Coast Guard Station,40.0,US,US-AK,Attu,ATU
PABA,medium_airport,Barter Island LRRS Airport,2.0,US,US-AK,Barter Island Lrrs,BTI
PABE,medium_airport,Bethel Airport,126.0,US,US-AK,Bethel,BET
PABG,small_airport,Beluga Airport,130.0,US,US-AK,Beluga,BLG
PABI,medium_airport,Allen Army Airfield,1291.0,US,US-AK,Delta Junction Ft Greely,BIG
PABL,medium_airport,Buckland Airport,31.0,US,US-AK,Buckland,BVK
PABM,small_airport,Big Mountain Airport,663.0,US,US-AK,Big Mountain,37AK
PABP,small_airport,Badami Airport,26.0,US,US-AK,Deadhorse,AK78
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,44.0,US,US-AK,UtqiaÄ¡vik,BRW
PABT,medium_airport,Bettles Airport,647.0,US,US-AK,Bettles,BTT
PABU,small_airport,Bullen Point Air Force Station Airport,18.0,US,US-AK,Kaktovik,8AK7
PABV,medium_airport,Birchwood Airport,83.0,US,US-AK,Birchwood,BCV
PACD,medium_airport,Cold Bay Airport,96.0,US,US-AK,Cold Bay,CDB
PACE,small_airport,Central Airport,937.0,US,US-AK,Central,CEM
PACI,small_airport,Chalkyitsik Airport,544.0,US,US-AK,Chalkyitsik,CIK
PACK,small_airport,Chefornak Airport,40.0,US,US-AK,Chefornak,CFK
PACL,medium_airport,Clear Airport,552.0,US,US-AK,Clear,Z84
PACM,medium_airport,Scammon Bay Airport,14.0,US,US-AK,Scammon Bay,SCM
PACR,small_airport,Circle City /New/ Airport,613.0,US,US-AK,Circle,CRC
PACS,small_airport,Cape Sarichef Airport,291.0,US,US-AK,Cape Sarichef,26AK
PACV,medium_airport,Merle K (Mudhole) Smith Airport,54.0,US,US-AK,Cordova,CDV
PACX,small_airport,Coldfoot Airport,1042.0,US,US-AK,Coldfoot,CXF
PACY,small_airport,Yakataga Airport,12.0,US,US-AK,Yakataga,0AA1
PACZ,medium_airport,Cape Romanzof LRRS Airport,464.0,US,US-AK,Cape Romanzof,CZF
PADE,medium_airport,Deering Airport,21.0,US,US-AK,Deering,DEE
PADG,small_airport,Red Dog Airport,969.0,US,US-AK,Red Dog,DGG
PADK,medium_airport,Adak Airport,18.0,US,US-AK,Adak Island,ADK
PADL,medium_airport,Dillingham Airport,81.0,US,US-AK,Dillingham,DLG
PADM,medium_airport,Marshall Don Hunter Sr Airport,103.0,US,US-AK,Marshall,MDM
PADQ,medium_airport,Kodiak Airport,78.0,US,US-AK,Kodiak,ADQ
PADU,medium_airport,Unalaska Airport,22.0,US,US-AK,Unalaska,DUT
PADY,small_airport,Kongiganak Airport,30.0,US,US-AK,Kongiganak,DUY
PAED,medium_airport,Elmendorf Air Force Base,212.0,US,US-AK,Anchorage,EDF
PAEE,small_airport,Eek Airport,12.0,US,US-AK,Eek,EEK
PAEG,small_airport,Eagle Airport,908.0,US,US-AK,Eagle,EAA
PAEH,medium_airport,Cape Newenham LRRS Airport,541.0,US,US-AK,Cape Newenham,EHM
PAEI,medium_airport,Eielson Air Force Base,547.0,US,US-AK,Fairbanks,EIL
PAEL,seaplane_base,Elfin Cove Seaplane Base,0.0,US,US-AK,Elfin Cove,ELV
PAEM,medium_airport,Emmonak Airport,13.0,US,US-AK,Emmonak,ENM
PAEN,medium_airport,Kenai Municipal Airport,99.0,US,US-AK,Kenai,ENA
PAEW,small_airport,Newtok Airport,25.0,US,US-AK,Newtok,EWU
PAFA,large_airport,Fairbanks International Airport,439.0,US,US-AK,Fairbanks,FAI
PAFB,medium_airport,Ladd AAF Airfield,454.0,US,US-AK,Fairbanks/Ft Wainwright,FBK
PAFE,medium_airport,Kake Airport,172.0,US,US-AK,Kake,AFE
PAFK,seaplane_base,Farewell Lake Seaplane Base,1052.0,US,US-AK,Farewell Lake,FKK
PAFL,small_airport,Tin Creek Airport,1151.0,US,US-AK,Farewell Lake,TNW
PAFM,medium_airport,Ambler Airport,334.0,US,US-AK,Ambler,AFM
PAFR,heliport,Bryant Army Heliport,378.0,US,US-AK,Fort Richardson(Anchorage),FRN
PAFS,small_airport,Nikolai Airport,441.0,US,US-AK,Nikolai,FSP
PAFV,small_airport,Five Mile Airport,510.0,US,US-AK,Five Mile,FVM
PAFW,small_airport,Farewell Airport,1535.0,US,US-AK,Farewell,FWL
PAGA,medium_airport,Edward G. Pitka Sr Airport,153.0,US,US-AK,Galena,GAL
PAGB,small_airport,Galbraith Lake Airport,2663.0,US,US-AK,Galbraith Lake,GBH
PAGG,small_airport,Kwigillingok Airport,18.0,US,US-AK,Kwigillingok,GGV
PAGH,small_airport,Shungnak Airport,197.0,US,US-AK,Shungnak,SHG
PAGK,medium_airport,Gulkana Airport,1586.0,US,US-AK,Gulkana,GKN
PAGL,small_airport,Golovin Airport,59.0,US,US-AK,Golovin,GLV
PAGM,medium_airport,Gambell Airport,27.0,US,US-AK,Gambell,GAM
PAGN,seaplane_base,Angoon Seaplane Base,,US,US-AK,Angoon,AGN
PAGQ,small_airport,Big Lake Airport,158.0,US,US-AK,Big Lake,BGQ
PAGS,medium_airport,Gustavus Airport,35.0,US,US-AK,Gustavus,GST
PAGT,small_airport,Nightmute Airport,4.0,US,US-AK,Nightmute,IGT
PAGY,small_airport,Skagway Airport,44.0,US,US-AK,Skagway,SGY
PAHC,medium_airport,Holy Cross Airport,70.0,US,US-AK,Holy Cross,HCA
